"","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"SARDPVIIIc-IXa",522500,522500,522500,522500,522500,522500,522500,522500,522500,522500,522500,522500,522500,528000,682000,855000,1020000,950000,751000,1160000,987000,796000,642000,706000,625000,562000,517000,851000,962000,810000,672000,538000,477000,386000,370000,317000,477000,491000,466000,408000,546000,642000,506000,391000,293000,245000,175000,128000,117000,118000,112000,137000,147000
"SOLECS",4460,4460,4460,4460,4460,4460,8910,7510,6250,6210,5480,5030,5630,4790,4800,4970,4390,4570,4940,5180,4640,4470,3620,3760,3140,3760,3470,3720,3760,3190,3030,3010,2970,3020,4190,3800,5230,5720,5350,4600,4500,3840,3650,4150,4850,4560,4460,4260,3990,3640,3820,3890,4500
"SOLEIS",4335,4335,4335,4335,4335,7130,7410,5730,6550,6190,6230,5500,5510,6240,6890,6430,5910,4750,4920,6790,7860,9530,8570,6010,5190,4300,4490,4470,3870,5000,3980,3090,3460,4270,4340,3930,4330,4040,3630,2800,2530,1900,1660,1600,1360,1480,1270,1310,1230,989,1570,1750,2340
"SOLENS",121000,119000,114000,103000,88400,80400,83800,75500,67700,70800,67000,58500,60000,64700,60700,50100,61500,76200,84600,77400,63200,60900,63200,86200,124000,151000,126000,126000,116000,1e+05,76600,56400,58100,72400,74500,63500,55200,53500,58600,54000,42000,41200,45800,47300,45500,55300,69800,50700,52400,54900,68700,67200,64800
"SOLEVIIe",4280,4280,4280,4280,2930,3020,2840,3090,3270,3510,4430,4100,5340,5430,6010,6390,5960,5920,5380,5460,5570,5260,5310,5120,4320,4220,4220,4100,3580,3790,3880,4160,3850,3960,3970,4340,4550,4220,4440,4060,4040,3750,3840,3820,3960,4370,4640,4460,4280,4480,4510,5500,5270
"SPRAT22-32",1710000,1710000,1710000,1710000,1710000,1710000,1710000,1710000,1710000,1780000,1290000,2080000,1940000,1280000,859000,604000,750000,779000,1690000,1370000,1150000,857000,844000,611000,877000,1140000,1350000,1930000,2140000,2210000,3270000,3050000,2790000,2500000,2080000,2260000,1830000,1570000,1560000,2180000,1910000,1710000,1770000,1770000,2030000,1710000,1310000,1280000,1250000,1170000,1840000,1940000,1980000
"SPRATNS",1365000,1365000,1365000,1365000,1365000,1365000,1365000,1365000,1365000,2970000,4100000,1340000,2080000,1450000,1820000,2190000,1040000,602000,793000,470000,263000,1160000,1110000,1950000,784000,1280000,3200000,2220000,2090000,1140000,538000,965000,1440000,1380000,1290000,1440000,1020000,1220000,1100000,2260000,1080000,1070000,955000,1650000,1390000,1680000,1350000,1810000,2650000,5120000,2560000,1365000,1365000
"SPURDNEATL",1e+06,975000,953000,928000,891000,858000,829000,803000,771000,741000,714000,690000,667000,645000,617000,598000,575000,553000,537000,516000,496000,472000,454000,424000,401000,383000,366000,348000,330000,315000,304000,293000,285000,279000,273000,269000,261000,252000,248000,244000,242000,241000,245000,250000,256000,262000,267000,272000,278000,284000,290000,296000,374500
"SWORDNATL",109000,108000,106000,106000,105000,104000,104000,107000,110000,111000,111000,109000,110000,111000,106000,103000,99000,97900,95200,91700,90400,87800,81800,74600,68700,65100,63000,61700,60000,56700,54600,50900,48600,48300,48900,50100,51700,54900,58700,60800,62300,63500,65600,67000,69600,71100,73000,73900,74250,74250,74250,74250,74250
"WANGLVIIIc-IXa",8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,8955,15200,16200,15400,14200,13900,12900,10700,7340,7250,5920,4910,4770,4480,3750,3790,4580,6520,7490,6780,5770,5080,4920,5790,7920,9330,9550,8980,8780,9070,9130,8930,9350,10500,11700,12600,12900,13400,13400
"WHITNS-VIId",373000,373000,373000,373000,373000,373000,373000,373000,373000,373000,373000,373000,373000,632000,715000,609000,492000,461000,413000,387000,375000,455000,374000,361000,420000,356000,373000,344000,323000,320000,297000,281000,332000,335000,399000,525000,450000,291000,251000,328000,311000,472000,447000,305000,373000,429000,355000,283000,282000,476000,424000,369000,283000
