"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","stockid","primary_FAOarea","scientificname","fao_sp"
"29",26200,25200,24700,24400,24200,23900,23900,23100,23000,22300,22300,21500,21200,21100,21100,20800,20200,18800,17900,17400,16700,16000,15900,15100,14100,13400,12900,12900,12800,12800,13000,12800,12700,12800,12400,11900,11100,10300,9100,7900,7160,6170,5310,4380,3640,3210,2940,2820,2770,2770,2750,2720,2600,2510,2470,2420,2370,2280,2220,2080,1930,1920,1880,NA,NA,NA,NA,NA,NA,"BOCACCBCW","67","Sebastes paucispinis","67_Sebastes paucispinis"
"30",38100,37400,36300,34900,33300,31600,29100,25800,22600,19400,17300,16100,16800,22100,33300,45100,54400,59300,59900,60000,59400,57300,55000,51600,45900,39900,36500,32900,31500,33000,32500,31500,28500,23100,17900,14000,12800,11500,10500,10100,9420,8720,8660,8100,7380,6680,6280,6010,5680,5640,5910,6670,7390,8010,8650,9220,9720,10300,10800,11300,12200,13900,16600,19100,NA,NA,NA,NA,NA,"BOCACCSPCOAST","77","Sebastes paucispinis","77_Sebastes paucispinis"
"31",3440,3420,3390,3370,3360,3330,3260,3190,3130,3050,3030,2990,2970,2950,2900,2880,2840,2790,2730,2660,2640,2580,2530,2430,2240,2030,1880,1730,1640,1620,1600,1350,1400,1310,1360,1270,1220,1110,1100,950,919,913,908,907,906,962,1010,1020,988,1020,1030,1070,1050,1090,1050,1140,1170,1210,1250,1310,1350,1380,1400,1450,NA,NA,NA,NA,NA,"BRNROCKPCOAST","77","Sebastes auriculatus","77_Sebastes auriculatus"
"32",1330,1290,1240,1230,1230,1230,1220,1190,1170,1170,1190,1210,1230,1240,1200,1200,1190,1160,1160,1180,1200,1220,1260,1250,1280,1330,1370,1380,1370,1290,1230,1110,1030,946,909,870,845,764,704,666,638,629,619,575,592,624,623,621,634,607,621,660,723,778,764,752,736,743,758,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CABEZSCAL","77","Scorpaenichthys marmoratus","77_Scorpaenichthys marmoratus"
"33",1460,1400,1390,1390,1380,1360,1350,1360,1390,1410,1450,1480,1500,1490,1460,1400,1360,1320,1180,1010,923,738,738,621,598,472,405,517,617,700,817,822,782,722,753,774,945,1200,1490,1410,1370,1270,1140,1240,1360,1440,1610,1680,1700,1680,1620,1730,1780,1830,1840,1880,1890,1840,1790,1750,1710,1680,1650,1610,1580,1550,NA,NA,NA,"CALSCORPSCAL","77","Scorpaena guttata","77_Scorpaena guttata"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6600000,5140000,5730000,7810000,6420000,4800000,4250000,4160000,6720000,3900000,3780000,4230000,2960000,860000,120000,101000,428000,864000,5830000,7290000,5150000,796000,2e+05,193000,503000,909000,2060000,2780000,4270000,3630000,2210000,533000,628000,324000,787000,2120000,4430000,3770000,3500000,3710000,3590000,3960000,1950000,842000,328000,2510000,NA,"CAPENOR","27","Mallotus villosus","27_Mallotus villosus"
"35",475000,447000,407000,372000,340000,304000,267000,236000,209000,192000,180000,174000,182000,197000,214000,237000,256000,279000,3e+05,322000,336000,362000,371000,363000,359000,346000,356000,363000,389000,431000,457000,482000,503000,519000,534000,538000,532000,534000,541000,545000,550000,561000,575000,588000,608000,618000,618000,606000,594000,574000,544000,498000,451000,415000,390000,377000,379000,388000,398000,412000,424000,441000,451000,469000,491000,510000,NA,NA,NA,"CHAKESA","47","Merluccius capensis","47_Merluccius capensis"
"36",44400,43900,43200,43000,42600,42300,41400,41000,40100,39400,39100,38800,39000,39300,38900,38800,38600,37200,35200,34900,36200,36800,38000,37800,35500,35400,34100,34600,34000,33100,30900,30100,28700,26800,24100,20700,21500,22300,24000,24300,23400,22800,21500,20100,18700,18500,17600,16500,14900,13700,14000,21200,27000,31800,35200,37100,37500,36600,34800,32800,30700,31100,33000,34500,35400,36700,NA,NA,NA,"CHILISPCOAST","77","Sebastes goodei","77_Sebastes goodei"
"37",566,567,567,568,568,569,569,569,570,570,570,571,571,571,572,572,572,572,572,573,573,573,573,573,573,572,571,570,568,565,559,557,552,548,543,539,538,536,532,530,526,519,517,511,507,499,489,481,468,450,427,417,402,386,383,384,387,388,386,384,382,384,382,379,378,381,NA,NA,NA,"CHROCKCPCOAST","67","Sebastes nebulosus","67_Sebastes nebulosus"
"38",235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,234,233,231,229,228,226,223,221,219,218,217,215,213,212,211,210,209,207,205,203,201,197,193,188,186,182,179,178,177,177,178,179,180,180,180,181,181,182,183,183,183,183,183,183,183,183,183,183,NA,NA,NA,"CHROCKNPCOAST","67","Sebastes nebulosus","67_Sebastes nebulosus"
