"","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","stockid","primary_FAOarea","scientificname","fao_sp"
"108",39900,39600,39200,39100,39500,39600,39100,39100,39000,39000,38300,37300,36800,37400,37800,37700,40800,43600,44200,43900,43300,43100,44300,44200,43000,41100,39000,36900,34500,32700,30800,29500,27700,24900,22300,19400,16200,15900,14400,12800,10700,9110,7480,7450,7300,7070,7470,7640,7760,8510,9180,11000,13600,16700,19900,22500,25200,27100,29800,31800,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINGCODNPCOAST","67","Ophiodon elongatus","67_Ophiodon elongatus"
"109",27600,27000,26400,26000,26000,25800,25600,25300,24700,24100,23600,23300,22800,22500,22300,22100,21800,21400,20900,20500,20200,19700,19100,18100,17100,15700,14300,12700,12700,12100,10800,9500,8160,6820,6070,6270,6170,6490,6360,6110,5320,4770,4570,4700,4630,4820,5170,5170,5690,6430,7040,9880,12900,16200,18600,22200,24600,26200,27200,30900,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINGCODSPCOAST","77","Ophiodon elongatus","77_Ophiodon elongatus"
"110",85100,85100,85200,85200,84700,84700,84200,84200,84200,84200,84100,84100,83000,82700,82200,81800,81900,81800,81600,81100,80900,81000,81400,81600,81700,81800,81900,81400,81000,80200,79300,79000,76800,75700,75100,75300,75100,75000,74800,74900,74900,74900,75100,75300,75400,75300,75500,74700,72900,72600,71800,70800,70700,71300,71000,71400,71400,71200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LNOSESKAPCOAST","67","Raja rhina","67_Raja rhina"
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103000,102000,101000,99000,97300,95500,93600,91600,89700,87800,86100,84500,83000,81800,80800,79900,79400,79000,79200,79400,80300,81300,81700,82300,82400,80500,77900,72000,69800,65400,61200,57900,53600,50300,48200,48300,49000,50300,51900,53100,54600,57300,59900,62400,64600,66100,67200,67700,68300,NA,NA,NA,NA,NA,NA,"LSTHORNHPCOAST","67","Sebastolobus altivelis","67_Sebastolobus altivelis"
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,506000,416000,423000,554000,421000,399000,425000,438000,523000,610000,586000,476000,396000,469000,497000,398000,526000,364000,313000,337000,363000,321000,280000,255000,162000,131000,111000,111000,108000,70800,72400,271000,251000,241000,198000,272000,235000,238000,167000,101000,83000,58900,42200,19400,13400,NA,NA,NA,NA,NA,"MACKNWATLSA3-4","21","Scomber scombrus","21_Scomber scombrus"
"113",NA,NA,NA,NA,NA,1770000,1580000,1390000,2290000,2e+06,1740000,1560000,1350000,1030000,893000,771000,859000,828000,985000,1100000,934000,1260000,915000,860000,1040000,1140000,1150000,1180000,1210000,1480000,1250000,1290000,1010000,1270000,1260000,1240000,1150000,1040000,1130000,1150000,1260000,1400000,1160000,942000,764000,647000,590000,580000,776000,645000,567000,756000,839000,851000,706000,784000,922000,1080000,1330000,1140000,1470000,1390000,1260000,1190000,1190000,1110000,1210000,NA,NA,"MENATLAN","21","Brevoortia tyrannus","21_Brevoortia tyrannus"
"114",25662,25440.1,27184.6,26935,26579.9,25963.7,26065.7,25976.4,25382.6,25159.1,25349.7,25581.1,25525,24146.7,23196.6,22559.6,21277.9,19747.4,19835.5,19687,20105.4,20674.3,21068.9,21516.8,21471.2,21322.7,20931.2,20490.9,20311.1,20075.9,19750,18454.9,17304.2,16677.1,15947.2,15128.1,14758.6,14635.1,13856.5,12692.4,11488.8,11039.6,10441.1,10243.4,9686.71,9038.44,8479.5,7959.62,7098.45,6453.6,5730.25,5329.26,5105.23,4874.54,4577.54,4285.57,4020.2,3696.34,3467.71,3054.46,2871.7,2719.41,2628.14,2560.33,2598.81,2743.92,2983.03,3174.68,NA,"MORWONGESE","81","Nemadactylus macropterus","81_Nemadactylus macropterus"
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10800,9120,7960,7880,8880,10300,11500,12100,11900,11000,10500,10600,10900,9680,9500,10000,11500,12500,9450,8070,7360,7580,8190,7860,7960,10300,10500,9460,10300,8490,7600,8640,9430,9000,8800,8220,8050,6870,5610,4310,4130,3780,3670,5140,5470,6400,5880,5090,4530,4380,3590,2780,2540,2870,2560,2430,NA,NA,NA,"NEPHMEDGSA17-18","37","Nephrops norvegicus","37_Nephrops norvegicus"
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108000,106000,102000,95600,83700,66100,57600,53800,51200,50500,51600,52100,53600,57100,61200,65500,70200,77200,85200,93800,102000,110000,114000,119000,127000,135000,144000,152000,160000,165000,170000,170000,166000,164000,159000,155000,154000,153000,153000,151000,150000,150000,149000,145000,141000,136000,130000,124000,118000,111000,105000,99800,93000,86800,81900,NA,NA,NA,"NROCKGA","67","Sebastes polyspinis","67_Sebastes polyspinis"
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202000,223000,243000,269000,293000,324000,363000,407000,460000,529000,590000,692000,817000,956000,1030000,1150000,1350000,1440000,1470000,1470000,1540000,1590000,1640000,1620000,1620000,1580000,1530000,1500000,1470000,1470000,1490000,1590000,1700000,1690000,1640000,1580000,1580000,1530000,1450000,1370000,1270000,NA,NA,NA,"NRSOLEEBSAI","67","Lepidopsetta polyxystra","67_Lepidopsetta polyxystra"
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78700,77200,75800,74400,73700,73400,74800,75400,76300,77000,77500,78300,80700,84900,88700,91200,91200,89300,88500,86100,82400,80300,80600,82500,84200,88700,93100,96600,98000,96900,94700,92200,88900,85100,81800,78200,75000,74200,75600,NA,NA,NA,"NRSOLEGA","67","Lepidopsetta polyxystra","67_Lepidopsetta polyxystra"
"119",43500,43900,44200,44400,44600,44800,45000,45300,45700,46000,46400,45500,46100,46400,49300,51500,53700,48800,46600,44700,46100,46000,42700,40900,38600,37500,34200,30000,23200,16600,17100,19000,19100,17700,13500,13000,14000,15600,17200,18900,20300,20600,21500,23200,25000,24000,20300,15200,11200,10500,13200,18100,23800,30700,37000,43200,48300,52000,54000,55100,56600,56200,54400,51400,47000,42300,37900,NA,NA,"NSHRIMPCSCH","87","Heterocarpus reedi","87_Heterocarpus reedi"
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15500,15300,14700,13500,12300,12200,13700,16000,17800,18400,19400,19100,17700,15900,14000,12500,11100,10000,9670,9640,10200,11200,11400,11500,11600,11800,12000,12500,14000,16200,18200,19500,20700,21400,21900,22400,21400,21200,17900,15600,14300,13800,14100,14100,14400,14300,14100,13500,12900,12900,12900,13000,12800,12900,13000,NA,NA,"NSHRIMPNCH","87","Heterocarpus reedi","87_Heterocarpus reedi"
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14300,14300,14300,14300,14300,14300,14300,14300,14300,14300,14200,14100,14000,13700,13500,13100,12800,12200,11800,11600,11600,10900,10600,10100,10000,9730,9590,9680,9510,9260,9360,9180,8270,7590,7100,6520,5840,5320,4730,4260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NZLINGESE","81","Genypterus blacodes","81_Genypterus blacodes"
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15500,15400,15400,15400,15100,14800,14600,14200,13700,13100,13000,12800,13100,13900,15000,16300,17000,17400,16700,15900,14900,13500,12000,10700,9500,8470,7760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NZLINGWSE","57","Genypterus blacodes","57_Genypterus blacodes"
"123",107000,107000,107000,106000,105000,103000,102000,1e+05,98100,96600,94600,92500,90500,88400,86200,84300,80400,76000,71900,68200,64000,60000,56000,50900,46700,40100,35500,27500,22600,18500,17900,15300,13000,10900,9850,9100,7920,7570,9280,11500,11600,12400,12000,10500,10900,10900,10600,10300,10400,10600,10400,10800,10300,9800,9580,8310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NZSNAPNZ8","81","Chrysophrys auratus","81_Chrysophrys auratus"
"124",NA,NA,143000,137000,139000,146000,164000,182000,2e+05,206000,209000,202000,188000,173000,162000,153000,139000,117000,103000,89400,78400,68800,64900,62600,62200,60600,63400,60800,65500,66300,68600,70000,51800,29300,31300,34400,33900,29500,31400,35200,42700,57000,64900,74200,84200,97800,93800,95200,92300,90000,86200,75600,77600,74300,68700,63600,50600,43700,40800,34600,32100,32800,34900,36500,35800,NA,NA,NA,NA,"PACBTUNA","61","Thunnus orientalis","61_Thunnus orientalis"
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14300000,11300000,13500000,1.4e+07,13700000,13400000,18300000,16800000,15400000,8800000,3300000,3690000,4010000,4080000,3070000,2750000,2970000,3440000,3900000,2630000,4e+06,5360000,6730000,3090000,1140000,6480000,4510000,4140000,6220000,6160000,3460000,9410000,7600000,7240000,10400000,4090000,6070000,10200000,12200000,11200000,9680000,12200000,13800000,8670000,10100000,11800000,8820000,8780000,11500000,10300000,13100000,6640000,10200000,NA,NA,NA,"PANCHPERUNC","87","Engraulis ringens","87_Engraulis ringens"
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3160,3160,3140,3120,3090,3050,3010,2960,2900,2840,2780,2700,2620,2570,2520,2460,2400,2340,2260,2220,2210,2140,2120,2150,2150,2090,1990,1840,1660,1500,1400,1320,1240,1200,1140,1100,1090,1110,1170,1290,1420,1510,1550,1560,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAUAPAU5B","81","Haliotis iris","81_Haliotis iris"
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,1950,1940,1930,1910,1880,1850,1820,1780,1740,1690,1640,1600,1550,1480,1400,1300,1190,1100,1020,920,848,831,844,851,891,942,949,913,872,851,822,778,736,697,645,599,548,485,429,406,396,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAUAPAU5D","81","Haliotis iris","81_Haliotis iris"
"128",NA,NA,NA,NA,NA,NA,8080,8750,6650,5600,4370,3410,2840,2630,8070,10100,8310,6030,4190,3060,2970,3400,9950,11500,11500,11900,10800,9600,9470,8040,5830,4260,3240,2510,2500,2150,2280,8230,6840,5320,4990,6460,4990,3380,1760,1110,863,679,562,406,267,875,1210,1180,1250,1010,651,437,716,1070,1530,1270,956,1080,1340,NA,NA,NA,NA,"PCOD5AB","67","Gadus macrocephalus","67_Gadus macrocephalus"
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581000,663000,838000,1210000,1630000,1970000,2150000,2160000,2140000,2090000,2060000,1990000,1790000,1560000,1370000,1230000,1220000,1270000,1300000,1240000,1160000,1050000,1070000,1110000,1130000,1150000,1120000,1050000,929000,807000,703000,668000,723000,841000,1060000,1200000,1320000,1490000,1670000,NA,NA,NA,"PCODBS","67","Gadus macrocephalus","67_Gadus macrocephalus"
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300000,1280000,1290000,1410000,1380000,1310000,1230000,1150000,1080000,1020000,982000,949000,896000,881000,828000,823000,825000,830000,834000,813000,797000,774000,735000,676000,641000,638000,635000,609000,566000,532000,503000,522000,565000,646000,708000,718000,689000,677000,640000,NA,NA,NA,"PCODGA","67","Gadus macrocephalus","67_Gadus macrocephalus"
"131",NA,NA,NA,NA,NA,NA,16100,19800,21900,18600,16500,15800,18400,27500,41200,42200,34300,24800,18200,13800,11200,11600,24200,31000,31400,26800,21500,19800,18300,21000,18900,17700,17300,15600,14200,13700,25800,36400,30400,24100,22300,22100,16000,11200,7970,7380,6960,6220,5370,5040,4750,4340,7500,10200,10700,9980,8760,7920,9830,12200,13600,13200,12700,14600,16800,NA,NA,NA,NA,"PCODHS","67","Gadus macrocephalus","67_Gadus macrocephalus"
"132",NA,NA,NA,NA,NA,NA,12700,10400,9230,8560,7420,6590,7440,12800,15200,15200,13200,11500,9360,8710,10800,16700,16700,13500,18900,20400,17900,14700,12200,10900,9440,7600,5580,4300,3310,2930,5460,7260,16800,17200,12800,10100,6320,4510,3210,2020,1830,1860,1970,2920,3510,4500,6980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PCODWCVANI","67","Gadus macrocephalus","67_Gadus macrocephalus"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130000,1130000,1080000,1050000,1010000,926000,810000,712000,642000,569000,517000,435000,399000,356000,338000,299000,270000,239000,227000,222000,219000,218000,222000,232000,250000,268000,285000,324000,350000,382000,407000,428000,454000,470000,478000,487000,492000,498000,504000,522000,529000,550000,563000,597000,611000,630000,643000,655000,658000,656000,654000,646000,633000,619000,598000,NA,NA,NA,NA,"PERCHEBSAI","67","Sebastes alutus","67_Sebastes alutus"
"134",52200,52800,53300,54300,55300,56400,57000,57800,58700,59900,61700,63600,65400,66200,66500,66000,59700,50200,45300,38600,35800,34300,32100,29300,27200,25700,24600,23400,21400,19400,18400,17400,16600,16000,16300,17000,19100,18400,18200,18000,17700,17300,17900,19000,20000,21300,21900,22500,22800,22600,22200,21300,20700,20600,20900,21400,21700,21700,21700,21300,20900,20300,19800,19300,NA,NA,NA,NA,NA,"PERCHQCI","67","Sebastes alutus","67_Sebastes alutus"
"135",38600,38700,38800,39000,39200,39200,39200,38800,38600,38800,38700,38100,36700,33700,30700,29400,26900,20200,16400,13900,13700,12000,11100,10900,10400,10700,11300,12100,13000,13800,14300,14100,13600,13100,12500,12300,12500,12000,11900,12000,12000,12000,12200,12100,11500,10800,10600,10800,11600,12400,13000,13400,13500,13800,13800,13900,13900,14200,15000,15800,16400,16500,16400,16400,NA,NA,NA,NA,NA,"PERCHWCVANI","67","Sebastes alutus","67_Sebastes alutus"
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105000,47200,30400,27900,40000,56200,56400,55500,75900,64800,119000,187000,313000,490000,815000,1140000,1580000,1790000,2470000,2930000,4210000,5550000,5250000,6680000,6980000,8680000,9620000,9490000,10200000,8190000,6670000,4840000,3310000,2250000,1330000,607000,224000,87900,75900,60400,11400,4550,4900,4380,6140,17100,25300,43400,47200,61400,133000,193000,207000,252000,NA,NA,NA,NA,NA,"PILCHTSST","61","Sardinops melanostictus","61_Sardinops melanostictus"
"137",NA,NA,NA,NA,NA,NA,NA,402000,421000,457000,486000,499000,576000,534000,549000,508000,542000,548000,529000,483000,453000,452000,448000,397000,424000,465000,482000,478000,473000,456000,466000,425000,478000,541000,580000,609000,729000,757000,690000,630000,555000,504000,437000,387000,330000,329000,315000,381000,387000,359000,334000,348000,380000,387000,389000,373000,423000,435000,528000,630000,735000,751000,804000,904000,1030000,890000,951000,1040000,NA,"PLAICNS","27","Pleuronectes platessa","27_Pleuronectes platessa"
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319000,354000,359000,299000,292000,316000,304000,286000,274000,270000,252000,230000,214000,201000,169000,160000,141000,119000,98500,90800,80400,80800,82500,83900,82800,96500,110000,123000,132000,146000,157000,174000,197000,228000,235000,238000,249000,235000,240000,210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLL5YZ","21","Pollachius virens","21_Pollachius virens"
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102000,109000,128000,149000,160000,165000,154000,159000,177000,193000,201000,218000,249000,238000,224000,195000,177000,163000,134000,139000,128000,132000,154000,174000,187000,191000,204000,209000,196000,171000,145000,125000,132000,126000,111000,96000,103000,122000,142000,191000,248000,268000,265000,272000,260000,230000,184000,176000,148000,139000,130000,118000,112000,118000,121000,134000,157000,142000,"POLLFAPL","27","Pollachius virens","27_Pollachius virens"
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687000,660000,720000,829000,807000,850000,818000,796000,760000,866000,968000,953000,878000,846000,732000,612000,542000,478000,418000,411000,392000,443000,399000,410000,321000,269000,270000,286000,301000,283000,271000,352000,465000,533000,486000,589000,682000,721000,797000,802000,825000,886000,1010000,990000,1010000,1070000,923000,867000,721000,659000,680000,576000,583000,599000,631000,607000,733000,764000,714000,"POLLNEAR","27","Pollachius virens","27_Pollachius virens"
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413000,579000,710000,909000,1050000,957000,893000,924000,856000,810000,612000,520000,483000,440000,491000,530000,509000,516000,527000,491000,405000,349000,293000,302000,321000,311000,357000,341000,451000,432000,446000,394000,381000,398000,446000,488000,445000,504000,480000,499000,460000,435000,396000,401000,363000,374000,387000,396000,422000,465000,523000,NA,"POLLNS-VI-IIIa","27","Pollachius virens","27_Pollachius virens"
"142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,981000,1120000,1190000,1170000,1010000,726000,582000,511000,451000,413000,397000,342000,280000,235000,193000,148000,107000,92200,92000,92200,89900,88900,93400,101000,109000,122000,136000,151000,166000,179000,190000,207000,223000,242000,258000,271000,281000,290000,3e+05,311000,323000,338000,352000,368000,382000,394000,401000,412000,423000,436000,444000,453000,459000,464000,462000,NA,NA,NA,"POPERCHGA","67","Sebastes alutus","67_Sebastes alutus"
"143",117000,116000,116000,114000,114000,113000,113000,112000,111000,110000,110000,109000,106000,103000,98100,93200,86400,67800,53700,45200,44100,42600,41500,41000,39200,37600,37000,35800,34600,32600,31100,29300,28400,27800,26900,25800,24900,24200,23900,23000,22200,21700,21100,20400,20000,19500,19100,19000,19000,18800,18700,19100,19700,20800,21600,22400,22900,23600,24000,24300,24400,25500,NA,NA,NA,NA,NA,NA,NA,"POPERCHPCOAST","67","Sebastes alutus","67_Sebastes alutus"
"144",27500,24700,23400,22300,21600,20400,19600,19200,18300,17500,17200,16500,15400,14700,14200,14000,13900,13900,13900,15200,16100,16200,16000,15500,15100,13700,12200,11200,10800,9920,9020,8470,7930,7450,7050,7000,6990,7070,6560,5920,5240,5000,4830,5070,5500,5830,6130,6330,6220,6410,6670,7380,8060,8570,9180,9270,8450,8240,7860,8240,9090,12200,15100,17400,18600,19400,NA,NA,NA,"PSOLEPCOAST","67","Eopsetta jordani","67_Eopsetta jordani"
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59200,59200,59200,59200,59200,59200,59300,59300,59500,59600,59800,60000,60200,60400,60700,60900,61100,61400,61600,61800,62000,62300,62600,63100,63800,64700,65800,66900,68100,69200,70300,71600,72800,73900,74700,75100,75300,75200,50900,47600,45500,42500,41600,40800,39900,39100,38400,37800,37000,36400,35900,35300,34800,34400,34200,34100,NA,NA,NA,"PTOOTHFISHPEI","58","Dissostichus eleginoides","58_Dissostichus eleginoides"
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23300,23600,23600,23500,23400,21900,19800,18500,16900,15000,13100,11300,10200,9610,9330,9640,9970,9860,9710,9160,8960,8640,7860,6740,5280,4330,4080,3850,3370,2980,2640,2170,1860,1650,1510,1380,1280,1300,1420,1650,1910,2250,NA,NA,"REDFEAUS","81","Centroberyx affinis","81_Centroberyx affinis"
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+05,177000,173000,174000,175000,171000,184000,183000,188000,183000,187000,185000,192000,180000,174000,164000,166000,171000,174000,181000,191000,198000,202000,198000,197000,198000,204000,203000,181000,126000,96300,83800,74300,66700,55900,49400,58700,74100,94000,116000,139000,161000,182000,202000,219000,233000,246000,255000,262000,267000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REDFISHSPP3LN","21","Sebastes spp","21_Sebastes spp"
"148",16500,16200,15200,13900,13400,11700,10300,10300,9690,9570,9450,8980,8030,7210,7920,7870,6810,6460,6330,5500,5750,6310,5600,5530,5340,5210,4940,5120,4830,4650,4670,4650,4610,4610,4680,4610,4820,4910,4870,5160,6190,5760,7100,8160,8520,8640,9480,10200,12100,13300,14200,14400,14700,15100,15800,15700,16200,16300,16700,16800,17500,18500,18600,18500,NA,NA,NA,NA,NA,"REXSOLEPCOAST","67","Glyptocephalus zachirus","67_Glyptocephalus zachirus"
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15500,16000,14100,11400,11300,11300,11700,12200,12800,13400,13900,14400,14900,15000,13900,14300,13600,13100,12700,12800,12300,11800,11800,11900,13300,13900,15100,16400,18400,20300,22200,24200,26800,29000,31300,33700,36000,38200,40400,NA,NA,NA,"REYEROCKBSAI","67","Sebastes aleutianus","67_Sebastes aleutianus"
"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344000,374000,373000,357000,334000,295000,124000,99100,84000,83200,58100,75900,81300,82300,82700,83700,77200,67700,64600,56000,73000,81100,82900,84700,87700,89600,90800,103000,107000,107000,119000,121000,123000,119000,112000,108000,103000,1e+05,97000,90600,86100,NA,NA,NA,"RKCRABBB","67","Paralithodes camtschaticus","67_Paralithodes camtschaticus"
"151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6900,6890,6810,6800,7140,7260,7160,6760,6210,5460,4590,3630,3160,2860,2640,2480,2290,2040,1800,1480,1300,1230,1210,1190,1110,1040,990,972,1070,1260,1440,1610,1800,1960,2130,2200,2140,2040,2010,2020,NA,NA,NA,NA,NA,NA,NA,"RPORGYSATLC","31","Pagrus pagrus","31_Pagrus pagrus"
"152",2720,2630,2550,2430,2320,2270,2220,2170,2140,2100,2070,2030,1980,1890,1820,1700,1520,1350,1290,1150,928,731,521,435,466,527,556,575,509,487,528,541,562,553,509,484,450,413,393,362,342,339,336,358,430,554,627,620,606,592,598,614,618,629,682,749,845,912,925,893,855,863,871,856,851,NA,NA,NA,NA,"RROCKLOBSTERCRA1","81","Jasus edwardsii","81_Jasus edwardsii"
"153",1840,1700,1600,1510,1430,1390,1350,1300,1290,1240,1160,1110,1040,992,986,955,1010,984,817,665,583,605,625,590,561,552,546,531,467,408,535,435,364,285,283,303,299,257,263,279,386,345,314,362,440,589,798,889,837,691,531,428,332,325,366,379,411,439,405,369,326,295,329,366,NA,NA,NA,NA,NA,"RROCKLOBSTERCRA2","81","Jasus edwardsii","81_Jasus edwardsii"
"154",5550,5460,5380,5330,5280,5250,5220,5160,5140,5090,5040,4950,4840,4710,4540,4280,4060,3780,3370,2970,2730,2580,2500,2410,2360,2220,2130,2110,2430,2800,3340,3830,4090,4040,3820,3310,2680,2170,2060,2210,2200,1980,1870,2120,2390,2820,3160,3230,3300,2850,2580,2340,2040,1720,1560,1570,1600,1640,1820,2080,2470,2690,2850,2900,2840,NA,NA,NA,NA,"RROCKLOBSTERCRA3","81","Jasus edwardsii","81_Jasus edwardsii"
"155",1950,1750,1490,1260,1060,931,890,884,930,944,957,941,944,988,1310,1580,1570,1340,1130,946,773,682,682,669,686,696,669,621,582,541,565,545,585,601,512,421,421,448,490,522,444,428,455,525,632,780,1010,1260,1390,1340,1170,1050,1010,945,807,638,534,531,626,757,864,863,NA,NA,NA,NA,NA,NA,NA,"RROCKLOBSTERCRA4","81","Jasus edwardsii","81_Jasus edwardsii"
"156",5890,5090,4810,4520,4530,4570,4580,4620,4800,4940,4940,4950,4910,4720,4590,4340,4130,3780,3590,3510,3360,3290,3250,3170,3150,3290,3330,3510,3710,3820,4210,4300,4330,4050,3750,3200,2620,2140,1850,1800,1830,1740,1680,1850,2280,2790,3270,3630,3960,4350,4640,4910,5310,5610,6100,6340,6280,6180,6010,5900,5830,5680,5520,5330,5190,5050,NA,NA,NA,"RROCKLOBSTERCRA5","81","Jasus edwardsii","81_Jasus edwardsii"
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,3530,3130,2820,2410,2160,1770,1420,1120,996,998,761,644,596,610,663,625,485,376,261,264,339,428,484,464,274,174,232,424,255,324,263,189,159,123,164,125,170,251,326,356,443,589,779,644,802,588,463,392,417,624,959,962,NA,NA,NA,"RROCKLOBSTERCRA7","81","Jasus edwardsii","81_Jasus edwardsii"
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21300,18900,16900,14900,12900,11600,10400,9420,8100,6780,6000,5080,4590,4090,3480,3030,2320,1890,1690,1500,1300,1400,1660,1530,1390,1010,956,652,749,842,963,918,902,878,802,759,763,818,841,1030,1370,1760,2220,2730,3150,3470,3480,3430,3260,3120,2970,2730,2630,NA,NA,NA,"RROCKLOBSTERCRA8","81","Jasus edwardsii","81_Jasus edwardsii"
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4760,4890,5280,5340,5230,5470,5220,5440,5070,5040,5380,5080,4870,4440,3970,3820,3810,3740,3810,3970,3910,3830,3490,3110,2970,2790,2780,2840,2950,2900,2490,2190,2090,1820,1730,1690,1770,1530,1410,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RROCKLOBSTERSAUSNZ","57","Jasus edwardsii","57_Jasus edwardsii"
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3210,3160,3620,3250,2800,3230,2910,2750,2920,3330,4080,3710,3290,3050,3050,3010,2970,3040,2930,3340,3210,3840,3870,2690,3130,2850,2550,2660,3140,3960,4250,4740,5120,4640,4710,4190,3830,3020,2030,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RROCKLOBSTERSAUSSZ","57","Jasus edwardsii","57_Jasus edwardsii"
"161",151000,149000,146000,143000,139000,136000,132000,127000,122000,115000,108000,101000,93900,86700,80200,73700,67400,61800,56000,50200,44900,39900,38100,34200,31400,28900,26500,24000,21700,19900,19600,19200,18400,17300,15200,14800,14300,13200,12700,12800,13000,15000,16600,18000,18400,20000,20800,21900,22000,23700,24200,24200,24800,25200,26700,27500,30100,32800,35200,41200,46700,53900,59700,64100,NA,NA,NA,NA,NA,"RSNAPGM","31","Lutjanus campechanus","31_Lutjanus campechanus"
"162",NA,NA,NA,NA,NA,34400,34000,33500,32500,31500,30200,28900,27400,26000,24700,23300,21800,20200,18300,16500,15000,13600,12500,11500,10500,9440,8330,7400,6490,5660,4930,4310,3280,2990,2940,2520,1940,1630,1530,1200,820,874,934,869,964,970,981,1070,972,1250,1440,1560,1650,1680,1760,1640,1710,2090,2230,1950,1430,NA,NA,NA,NA,NA,NA,NA,NA,"RSNAPSATLC","31","Lutjanus campechanus","31_Lutjanus campechanus"
