assessid,fao_area
DFO-SNOWCRAB3LNO-1995-2013-WATSON,21
DFO-SNOWCRAB3Ps-1995-2013-WATSON,21
DFO-SNOWCRAB4R3Pn-1995-2013-WATSON,21
DFO-SNOWCRABSGSL-1987-2014-WATSON,21
DFO-SSHRIMPSMAGTSE-1992-2011-WATSON,NA
DFO-SSHRIMPSMAPRD-1987-2011-WATSON,67
DFO-SSSHRIMPSMA14-1987-2011-WATSON,67
DFO-SSSHRIMPSMA16-1987-2011-WATSON,NA
DFO-SSSHRIMPSMA18-19-1987-2011-WATSON,67
DFO-SSSHRIMPSMAFR-1987-2011-WATSON,67
DFO-YEYEROCKPCOASTIN-1918-2009-WATSON,67
DPIF-MULLQNSW-1945-2003-BANOBI,NA
EWG-BS-WHITBLACK-1994-2011-HIVELY,37
FAJ-APOLLPJPN-1975-2014-KUROTA,61
FAJ-BMACKECS-1992-2014-KUROTA,61
FAJ-BMACKPJPN-1982-2014-KUROTA,61
FAJ-BRMSOJ-1980-2010-ONO,61
FAJ-CMACKPJPN-1970-2009-ONO,61
FAJ-CMACKTSST-1973-2014-KUROTA,61
FAJ-JANCHOPJPN-1978-2014-KUROTA,61
FAJ-JANCHOSETO-1955-2014-KUROTA,61
FAJ-JANCHOTSST-1977-2014-KUROTA,61
FAJ-JMACKPJPN-1982-2009-ONO,61
FAJ-JMACKTSST-1973-2010-ONO,61
FAJ-OFLOUNECS-1986-2010-ONO,61
FAJ-OFLOUNNSJ-1999-2010-ONO,61
FAJ-OFLOUNPAC-1990-2009-ONO,61
FAJ-OFLOUNSETO-1987-2010-ONO,NA
FAJ-PILCHPJPN-1976-2009-ONO,61
FAJ-PILCHTSST-1960-2010-ONO,61
FAJ-RBRMECS-1969-2010-ONO,61
FAJ-RBRMSETOE-1977-2010-ONO,61
FAJ-RBRMSETOW-1977-2010-ONO,61
FAJ-RHERRTSST-1975-2014-KUROTA,NA
FAJ-SAURNWPAC-1980-2010-ONO,61
FAJ-SPANMACKSETO-1987-2010-ONO,NA
FAO-DRSS-BCROAKWASG1-1994-2007-CHING,34
FAO-DRSS-BGRUNTWASG2-1990-2006-CHING,34
FAO-DRSS-BGRUNTWASG3-1995-2007-CHING,47
FAO-DRSS-BHAKEWASG3-1995-2007-CHING,47
FAO-DRSS-BRMSPPWASG1-1994-2007-CHING,34
FAO-DRSS-BRMSPPWASG2-1990-2007-CHING,34
FAO-DRSS-BRMSPPWASG3-1995-2007-CHING,47
FAO-DRSS-CATWASG1-1994-2008-CHING,34
FAO-DRSS-CATWASG3-1995-2007-CHING,34
FAO-DRSS-CROAKSPPWASG1-1994-2007-CHING,34
FAO-DRSS-CROAKSPPWASG2-1990-2006-CHING,34
FAO-DRSS-CROAKSPPWASG3-1990-2007-CHING,47
FAO-DRSS-CSHRIMPWA-1990-2007-CHING,34
FAO-DRSS-CUTTLEWA-1990-2007-CHING,34
FAO-DRSS-DRSHRIMPWA-1990-2007-CHING,34
FAO-DRSS-GGRUNTWASG1-1994-2007-CHING,34
FAO-DRSS-GGRUNTWASG3-1995-2007-CHING,47
FAO-DRSS-LDENTWASG3-1995-2007-CHING,47
FAO-DRSS-OCTOWA-1990-2007-CHING,34
FAO-DRSS-RPANDWASG2-1990-2007-CHING,34
FAO-DRSS-SOLEWASG1-1994-2007-CHING,34
FAO-DRSS-SOLEWASG3-1991-2007-CHING,47
FAO-DRSS-SPSHRIMPWA-1990-2007-CHING,47
FAO-DRSS-THREADWASG1-1994-2007-CHING,34
FAO-DRSS-THREADWASG2-1990-2006-CHING,34
FAO-DRSS-THREADWASG3-1990-2007-CHING,47
FAO-SPNWA-ANCHOWA-1990-2010-CHING,34
FAO-SPNWA-BONGAWA-1990-2010-CHING,34
FAO-SPNWA-CHMACKWA-1990-2010-CHING,34
FAO-SPNWA-CMACKWA-1990-2010-CHING,NA
FAO-SPNWA-FSCADWA-1990-2010-CHING,34
FAO-SPNWA-HMACKWA-1990-2010-CHING,NA
FAO-SPNWA-RSARDINWA-1990-2010-CHING,34
FAO-SPNWA-SARDINWA-1990-2010-CHING,34
FAO-SPNWA-SARDWAZAB-1990-2010-CHING,34
FAO-SPNWA-SARDWAZC-1990-2010-CHING,34
GRP7-RBRMMEDGSA1-3-2009-2011-BANOBI,37
HAWG-HERR2224IIIa-1991-2011-NEUBAUER,27
HAWG-HERRNIRS-1960-2010-NEUBAUER,27
HAWG-HERRNS-1960-2011-NEUBAUER,27
HAWG-HERRSIRS-1957-2010-NEUBAUER,27
HAWG-HERRVIa-1956-2010-NEUBAUER,27
HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER,27
HAWG-SPRATNS-1995-2007-MINTO,27
IATTC-BIGEYEEPAC-1954-2012-PONS,87
IATTC-STMARLINNEPAC-1954-2009-BRANCH,77
IATTC-SWORDEPAC-1951-2012-PONS,87
IATTC-YFINEPAC-1950-2012-PONS,87
ICCAT-ALBAMED-1956-2011-CHING,37
ICCAT-ALBANATL-1930-2015-PONS,27
ICCAT-ALBASATL-1950-2015-PONS,41
ICCAT-ATBTUNAEATL-1950-2015-PONS,34
ICCAT-ATBTUNAWATL-1950-2015-PONS,41
ICCAT-BIGEYEATL-1950-2010-CHING,34
ICCAT-BMARLINATL-1956-2010-CHING,34
ICCAT-SAILEATL-1956-2010-CHING,NA
ICCAT-SAILWATL-1956-2010-CHING,NA
ICCAT-SKJEATL-1950-2010-CHING,34
ICCAT-SKJWATL-1950-2014-PONS,41
ICCAT-SWORDMED-1950-2009-CHING,37
ICCAT-SWORDNATL-1950-2015-PONS,27
ICCAT-SWORDSATL-1950-2015-PONS,41
ICCAT-WMARLINATL-1956-2011-CHING,34
ICCAT-YFINATL-1950-2011-CHING,34
IFOP-AFLONCH-1998-2011-CHING,87
IFOP-BSQLOBSTERCH-1979-2012-CHING,87
IFOP-BWHITCH-1979-2012-CHING,87
IFOP-CHERRCHVX-1960-2012-CHING,87
IFOP-CHTRACCH-1950-2010-RICARD,87
IFOP-HMACKCH-1970-2011-CHING,87
IFOP-NSHRIMPCH-1949-2012-CHING,87
IFOP-OROUGHYCH-1999-2011-CHING,87
IFOP-PANCHCHVX-1960-2012-CHING,87
IFOP-PANCHNCH-1984-2012-CHING,87
IFOP-PANCHSCH-1984-2012-CHING,87
IFOP-PATGRENADIERCH-1977-2012-CHING,87
IFOP-PCEELCH-1978-2011-CHING,87
IFOP-PTOOTHFISHCH-1989-2011-CHING,87
IFOP-RSQLOBSTERCH-1968-2012-CHING,87
IFOP-SBREAMCH-1989-2011-CHING,87
IFOP-SOUTHHAKECH-1977-2011-CHING,87
IFOP-SPHAKECH-1968-2012-CHING,87
