stockid,scientificname
PINKSHRIMPGM,Farfantepenaeus duorarum
PLAIC7d,Pleuronectes platessa
PLAICCELT,Pleuronectes platessa
PLAICECHW,Pleuronectes platessa
PLAICIIIa,Pleuronectes platessa
PLAICIS,Pleuronectes platessa
PLAICNS,Pleuronectes platessa
POLL4VWX5,Pollachius virens
POLL5YZ,Pollachius virens
POLLFAPL,Pollachius virens
POLLIEG,Pollachius virens
POLLNEAR,Pollachius virens
POLLNS-VI-IIIa,Pollachius virens
POPERCHGA,Sebastes alutus
POPERCHPCOAST,Sebastes alutus
PSHRMPMEDGSA6,Parapenaeus longirostris
PSOLEPCOAST,Eopsetta jordani
PTOOTHFISHCH,Dissostichus eleginoides
PTOOTHFISHMI,Dissostichus eleginoides
PTOOTHFISHPEI,Dissostichus eleginoides
QUAHATLC,Arctica islandica
RBRMECS,Pagrus major
RBRMMEDGSA1-3,Pagellus bogaraveo
RBRMSETOE,Pagrus major
RBRMSETOW,Pagrus major
RDEEPCRABNWATL,Chaceon quinquedens
RDSHRMPMEDGSA6,Aristeus antennatus
REDDEEPI-II,Sebastes mentella
REDFISHSPP1,Sebastes spp
REDFISHSPP23K,Sebastes spp
REDFISHSPP3LN,Sebastes spp
REDFISHSPP3M,Sebastes spp
REDFISHSPP3Pn4RSTVn,Sebastes spp
REXSOLEGA,Glyptocephalus zachirus
REYEROCKBSAI,Sebastes aleutianus
REYEROCKGA,Sebastes aleutianus
RGROUPGM,Epinephelus morio
RGROUPSATL,Epinephelus morio
RHERRTSST,Etrumeus teres
RKCRABBB,Paralithodes camtschaticus
RKCRABNS,Paralithodes camtschaticus
RKCRABPI,Paralithodes camtschaticus
RPANDWASG2,Pagellus bellottii
RPORGYSATLC,Pagrus pagrus
RROCKLOBSTERCRA1,Jasus edwardsii
RROCKLOBSTERCRA2,Jasus edwardsii
RROCKLOBSTERCRA3,Jasus edwardsii
RROCKLOBSTERCRA4,Jasus edwardsii
RROCKLOBSTERCRA5,Jasus edwardsii
RROCKLOBSTERCRA7,Jasus edwardsii
RROCKLOBSTERCRA8,Jasus edwardsii
RROCKLOBSTERSAUSNZ,Jasus edwardsii
RROCKLOBSTERSAUSSZ,Jasus edwardsii
RSARDINWA,Sardinella aurita
RSHRMPMEDGSA12-16,Parapenaeus longirostris
RSHRMPMEDGSA18,Parapenaeus longirostris
RSKATMATLC,Leucoraja garmani
RSNAPGM,Lutjanus campechanus
RSNAPSATLC,Lutjanus campechanus
RSOLEHSTR,Lepidopsetta bilineata
RSQLOBSTERCH,Pleuroncodes monodon
SAABALONESA,Haliotis midae
SABLEFEBSAIGA,Anoplopoma fimbria
SABLEFPCAN,Anoplopoma fimbria
SABLEFPCOAST,Anoplopoma fimbria
SAILEATL,Istiophorus albicans
SAILWATL,Istiophorus albicans
SARDINWA,Sardinella spp
SARDMEDGSA16,Sardina pilchardus
SARDMEDGSA17,Sardina pilchardus
SARDMEDGSA7,Sardina pilchardus
SARDPCOAST,Sardinops sagax
SARDPVIIIc-IXa,Sardina pilchardus
SARDSA,Sardinops sagax
SARDWAZAB,Sardina pilchardus
SARDWAZC,Sardina pilchardus
SAURNWPAC,Cololabis saira
SBARSHARATL,Carcharhinus plumbeus
SBELLYROCKPCOAST,Sebastes jordani
SBREAMCH,Epigonus crassicaudus
SBT,Thunnus maccoyii
SBWHITACIR,Micromesistius australis
SBWHITARGS,Micromesistius australis
SCALL5ZMAB,Placopecten magellanicus
SCALLGB,Placopecten magellanicus
SCMPBP,Metanephrops challengeri
SCMPWHB,Metanephrops challengeri
SCUPNWATLC,Stenotomus chrysops
SDOGATLC,Squalus acanthias
SDOGBLKGSA29,Squalus acanthias
SEELNSSA1,Ammodytes marinus
SEELNSSA2,Ammodytes marinus
SEELNSSA3,Ammodytes marinus
SFLOUNMATLC,Paralichthys dentatus
SFMAKONWPAC,Isurus oxyrinchus
SHAKEGOMNGB,Merluccius bilinearis
SHAKESGBMATL,Merluccius bilinearis
SILVERFISHSE,Seriolella punctata
SKJCIO,Katsuwonus pelamis
SKJCWPAC,Katsuwonus pelamis
SKJEATL,Katsuwonus pelamis
SKJWATL,Katsuwonus pelamis
SMOOTHOREOBP,Pseudocyttus maculatus
SMOOTHOREOCR,Pseudocyttus maculatus
SMOOTHOREOEPR,Pseudocyttus maculatus
SMOOTHOREOSLD,Pseudocyttus maculatus
SMOOTHOREOWECR,Pseudocyttus maculatus
SMSHRMPMEDGSA17,Squilla mantis
SNAPSAUSNSG,Chrysophrys auratus
SNAPSAUSSGSV,Chrysophrys auratus
SNAPSAUSSSG,Chrysophrys auratus
SNOSESHARATL,Rhizoprionodon terraenovae
SNOWCRAB2J,Chionoecetes opilio
SNOWCRAB3K,Chionoecetes opilio
SNOWCRAB3NO,Chionoecetes opilio
SNOWCRAB3Ps,Chionoecetes opilio
SNOWCRABBS,Chionoecetes opilio
SNOWCRABSGSL,Chionoecetes opilio
SNOWGROUPSATLC,Epinephelus niveatus
SNROCKPCOAST,Sebastes diploproa
SOLECS,Solea vulgaris
SOLEIIIa,Solea vulgaris
SOLEIS,Solea vulgaris
SOLENS,Solea vulgaris
SOLEVIId,Solea vulgaris
SOLEVIIe,Solea vulgaris
SOLEVIII,Solea vulgaris
SOLEWASG1,Cynoglossus spp
SOLEWASG3,Cynoglossus spp
SOLMEDGSA17,Solea solea
SOUTHHAKECH,Merluccius australis
SOUTHHAKECR,Merluccius australis
SOUTHHAKESA,Merluccius australis
SPANMACKGM,Scomberomorus maculatus
SPANMACKSATLC,Scomberomorus maculatus
SPANMACKSETO,Scomberomorus niphonius
SPHAKECH,Merluccius gayi
SPRAT22-32,Sprattus sprattus
SPRATNS,Sprattus sprattus
SPRBLKGSA29,Sprattus sprattus
SPSDOGPCOAST,Squalus suckleyi
SPSHRIMPWA,Farfantepenaeus notialis
SRAKEROCKBSAI,Sebastes borealis
SSARDCH,Sprattus fuengensis
SSKAT5YZSNE,Malacoraja senta
SSLOBSTERSASC,Palinurus gilchristi
SSTHORNHPCOAST,Sebastolobus alascanus
STFLOUNNPCOAST,Platichthys stellatus
STFLOUNSPCOAST,Platichthys stellatus
STMARLINNEPAC,Kajikia audax
STMARLINNPAC,Kajikia audax
STMARLINSWPO,Kajikia audax
STMARLINWCNPAC,Kajikia audax
STRIPEDBASSGOMCHATT,Morone saxatilis
SURFMATLC,Spisula solidissima
SWHITSE,Sillago flindersi
SWORDEPAC,Xiphias gladius
SWORDIO,Xiphias gladius
SWORDMED,Xiphias gladius
SWORDNATL,Xiphias gladius
SWORDNPAC,Xiphias gladius
SWORDSATL,Xiphias gladius
TANNERCRABBSAI,Chionoecetes bairdi
TARAKNZ,Nemadactylus macropterus
TASGIANTCRABTAS,Pseudocarcinus gigas
THREADWASG1,Galeoides decadactylus
THREADWASG2,Galeoides decadactylus
THREADWASG3,Galeoides decadactylus
TIGERFLATSE,Neoplatycephalus richardsoni
TILEGM,Lopholatilus chamaeleonticeps
TILEMATLC,Lopholatilus chamaeleonticeps
TILESATLC,Lopholatilus chamaeleonticeps
TREVALLYTRE7,Pseudocaranx dentex
TSKAT5YZSNE,Amblyraja radiata
TURBLKGSA29,Psetta maxima
VSNAPGM,Rhomboplites aurorubens
VSNAPSATLC,Rhomboplites aurorubens
WAREHOUESE,Seriolella brama
WAREHOUWSE,Seriolella brama
WEAKFISHATLC,Cynoscion regalis
WHAKE4VWX5,Urophycis tenuis
WHAKEGBGOM,Urophycis tenuis
WHITBLACK,Merlangius merlangus
WHITBLKGSA29,Merlangius merlangus
WHITNS-VIId,Merlangius merlangus
WHITVIa,Merlangius merlangus
WHITVIIek,Merlangius merlangus
WINDOWGOMGB,Scophthalmus aquosus
WINDOWSNEMATL,Scophthalmus aquosus
WINFLOUN5Z,Pseudopleuronectes americanus
WINFLOUND5Y,Pseudopleuronectes americanus
WINFLOUNSNEMATL,Pseudopleuronectes americanus
WITFLOUN5Y,Glyptocephalus cynoglossus
WMARLINATL,Tetrapturus albidus
WPOLLAI,Theragra chalcogramma
WPOLLEBS,Theragra chalcogramma
WPOLLGA,Theragra chalcogramma
WPOLLNAVAR,Theragra chalcogramma
WPOLLNSO,Theragra chalcogramma
WPOLLWBS,Theragra chalcogramma
